(0,0,255)
1,2,8,13,14,
1,2,13,14,15,
1,3,4,5,7,
1,3,4,7,10,
1,3,4,7,14,
1,7,9,10,12,
1,7,9,12,14,
4,6,7,10,12,
4,6,10,11,12,
6,7,9,10,12,
6,7,9,12,14,
6,7,12,13,14,
6,9,10,11,12,
(0,0,255)
1,2,8,13,14,
1,2,13,14,15,
1,3,4,5,7,
1,3,4,7,10,
1,3,4,7,14,
1,7,9,10,12,
1,7,9,12,14,
4,6,7,10,12,
4,6,10,11,12,
6,7,9,10,12,
6,7,9,12,14,
6,7,12,13,14,
6,9,10,11,12,
(0,0,255)
1,2,8,13,14,
1,2,13,14,15,
1,3,4,5,7,
1,3,4,7,10,
1,3,4,7,14,
1,7,9,10,12,
1,7,9,12,14,
4,6,7,10,12,
4,6,10,11,12,
6,7,9,10,12,
6,7,9,12,14,
6,7,12,13,14,
6,9,10,11,12,
