(0,0,255)
1,2,8,13,14,
1,2,13,14,15,
1,3,4,5,7,
1,3,4,7,10,
1,3,4,7,14,
1,3,7,13,14,
1,4,7,10,12,
1,7,9,10,12,
1,7,9,12,14,
1,7,12,13,14,
1,7,13,14,15,
2,6,8,13,14,
4,6,7,10,12,
4,6,10,11,12,
6,7,9,10,12,
6,7,9,12,14,
6,7,12,13,14,
6,9,10,11,12,
6,11,13,14,15,
(0,0,255)
1,2,3,4,5,
1,2,3,4,10,
1,2,3,5,9,
1,2,3,9,10,
1,2,4,5,8,
1,2,4,8,10,
1,2,5,8,9,
1,2,8,9,10,
1,3,4,5,7,
1,3,4,7,10,
1,3,5,7,9,
1,3,7,9,10,
1,4,5,7,8,
1,4,7,8,10,
1,5,7,8,9,
1,7,8,9,10,
2,3,4,6,10,
2,3,5,6,9,
2,3,6,9,10,
2,4,5,6,8,
2,4,6,8,10,
2,5,6,8,9,
2,6,8,9,10,
3,4,6,7,10,
3,5,6,7,9,
3,6,7,9,10,
4,6,7,8,10,
6,7,8,9,10,
